name,country,latitude,longitude,near_hotspot,hotspot_info
Tarrama School,Palestine,31.484901,35.029866,True,Hebron (147 events)
معهد انت معنا,Palestine,31.786152,35.232429,True,Bethlehem (68 events)
ישיבה תיכונית - תורה ומדע ליד מכון לב,Palestine,31.765,35.191314,True,Bethlehem (68 events)
תבור קדם,Palestine,31.80703,35.154291,True,Ramallah and Al Bireh (150 events)
روضة أحبائنا الصغار,Palestine,31.526464,34.437885,True,Deir El Balah (3 events)
המכללה לחינוך דוד ילין,Palestine,31.782071,35.190611,True,Bethlehem (68 events)
"מרכז קהילתי ויצ""ו - תקשורת",Palestine,31.754141,35.193998,True,Bethlehem (68 events)
Al Aqsa School For Boys,Palestine,31.599908,35.021145,False,
Abu Amar School,Palestine,31.61058,35.028938,False,
ማውንት ኦሊቭ ት/ቤት,Ethiopia,7.042928,38.47567,False,
አሌፍ አካዳሚ,Ethiopia,7.061825,38.47788,False,
ቅዱስ ዳንኤል ኮምቦኒ ሁለተኛ ደረጃ እና መሰናዶ ት/ቤት,Ethiopia,7.044652,38.468551,False,
Sidna Ibrahim School,Palestine,31.528499,35.078197,True,Hebron (147 events)
Deir Abu Da'if Girls School,Palestine,32.457736,35.361545,True,Jenin (43 events)
Akkaba Basic School For Girls,Palestine,32.348998,35.351006,True,Tubas (14 events)
בית ספר נחלת צבי,Palestine,32.238471,35.334177,True,Nablus (156 events)
Alkarameh School,Palestine,31.505157,34.957283,False,
Rantees High School For Girls,Palestine,32.029114,35.017042,False,
المدرسة اللاتينية عابود,Palestine,32.018443,35.068523,False,
Al-Zuhoor kindergarten روضة زهور الولجة,Palestine,31.725869,35.160781,True,Bethlehem (68 events)
Al Huda Isalamic School And Kindergarten,Palestine,31.850529,35.17698,True,Al Quds (93 events)
Alamura High School,Ethiopia,7.02735,38.48681,False,
St.Anthony Catholic Tecnical School,Ethiopia,8.121753,37.936423,False,
Ethiopia tikdem andegna dereja temert bet,Ethiopia,7.054428,38.485841,False,
Hibret frie,Ethiopia,8.060153,38.467684,False,
መቐለ ዩኒቨርሲቲ እንዳየሱስ ግቢ,Ethiopia,13.477088,39.483994,True,Mekelle Tigray (6 events)
תמר,Palestine,31.90171,34.993144,False,
millinneyem,Ethiopia,9.040625,38.71113,False,
Guzara High School,Ethiopia,12.260089,37.624996,False,
FetAwerari HabeteGiorgis,Ethiopia,9.062568,38.694685,False,
مدرسة زواتا,Palestine,32.247115,35.229338,True,Nablus (156 events)
Al Quds Mix School,Palestine,32.188602,35.281967,True,Nablus (156 events)
Al 'a'shah Elementary School For Girls,Palestine,32.215942,35.269463,True,Nablus (156 events)
مدرسة جنين الصناعية,Palestine,32.468533,35.325973,True,Jenin (43 events)
Boys School,Palestine,32.308263,35.113013,True,Tulkarm (40 events)
Al Funduk Elemintary School,Palestine,32.191758,35.133785,False,
Burqa Secondary School For Girls,Palestine,32.300768,35.18573,True,Nablus (156 events)
مدرسة بنات مسلية الأساسية,Palestine,32.388256,35.288081,True,Jenin (43 events)
