year,indicator_code,indicator_label,unit,source,angle,value
2003,SE.SEC.ENRR,"Secondary enrollment, gross (%)",%,worldbank,access,64.8559494018555
2003,SE.SEC.TCHR,Teachers in secondary (count),count,worldbank,teacher,46721
2003,SL.UEM.1524.ZS,Youth unemployment rate (%),%,worldbank,economic,20.15
2003,SL.UEM.TOTL.ZS,Unemployment rate (%),%,worldbank,economic,8.061
2003,SM.POP.NETM,Net migration (count),count,worldbank,displacement,1674
2004,CME_MRY0T4,Under-5 mortality rate,per 1k,unicef,wellbeing,16.1402211831546
2004,NY.GDP.PCAP.CD,GDP per capita (USD),USD,worldbank,economic,4600.68371412993
2004,ROFST.1.CP,"Out-of-school rate, primary (%)",%,uis,access,20.27243041992188
2004,SE.PRM.CMPT.FE.ZS,Female primary completion rate (%),%,worldbank,gender,75.8669128417969
2004,SE.PRM.CMPT.MA.ZS,Male primary completion rate (%),%,worldbank,gender,71.403678894043
2004,SE.PRM.CMPT.ZS,Primary completion rate (%),%,worldbank,learning,73.5863189697266
2004,SE.PRM.ENRL.TC.ZS,"Pupil-teacher ratio, primary",ratio,worldbank,teacher,14.45002
2004,SE.PRM.ENRR,"Primary enrollment, gross (%)",%,worldbank,access,88.6836776733398
2004,SE.PRM.TCHR,Teachers in primary (count),count,worldbank,teacher,32972
2004,SE.PRM.UNER,"Out-of-school children, primary (count)",count,worldbank,access,108912
2004,SE.PRM.UNER.FE.ZS,"Out-of-school girls, primary (%)",%,worldbank,gender,20.0879001617432
2004,SE.PRM.UNER.MA.ZS,"Out-of-school boys, primary (%)",%,worldbank,gender,20.4494094848633
2004,SE.PRM.UNER.ZS,"Out-of-school children, primary (%)",%,worldbank,access,20.2724304199219
2004,SE.SEC.CMPT.LO.ZS,Lower secondary completion rate (%),%,worldbank,learning,55.1838607788086
2004,SE.SEC.ENRL.TC.ZS,"Pupil-teacher ratio, secondary",ratio,worldbank,teacher,8.50679
2004,SE.SEC.ENRR,"Secondary enrollment, gross (%)",%,worldbank,access,66.0179901123047
2004,SE.SEC.TCHR,Teachers in secondary (count),count,worldbank,teacher,43971
2004,SE.XPD.TOTL.GB.ZS,Education expenditure (% of govt spend),%,worldbank,expenditure,7.93123006820679
2004,SE.XPD.TOTL.GD.ZS,Education expenditure (% of GDP),%,worldbank,expenditure,2.64094996452331
2004,SL.UEM.1524.ZS,Youth unemployment rate (%),%,worldbank,economic,19.785
2004,SL.UEM.TOTL.ZS,Unemployment rate (%),%,worldbank,economic,7.85
2004,SM.POP.NETM,Net migration (count),count,worldbank,displacement,4974
2005,CME_MRY0T4,Under-5 mortality rate,per 1k,unicef,wellbeing,15.3283310068204
2005,NY.GDP.PCAP.CD,GDP per capita (USD),USD,worldbank,economic,4602.19804637945
2005,ROFST.1.CP,"Out-of-school rate, primary (%)",%,uis,access,20.32229995727539
2005,SE.PRM.CMPT.FE.ZS,Female primary completion rate (%),%,worldbank,gender,74.2040863037109
2005,SE.PRM.CMPT.MA.ZS,Male primary completion rate (%),%,worldbank,gender,71.0442276000977
2005,SE.PRM.CMPT.ZS,Primary completion rate (%),%,worldbank,learning,72.5898818969727
2005,SE.PRM.ENRL.TC.ZS,"Pupil-teacher ratio, primary",ratio,worldbank,teacher,14.57447
2005,SE.PRM.ENRR,"Primary enrollment, gross (%)",%,worldbank,access,89.1887664794922
2005,SE.PRM.TCHR,Teachers in primary (count),count,worldbank,teacher,32646
2005,SE.PRM.UNER,"Out-of-school children, primary (count)",count,worldbank,access,108414
2005,SE.PRM.UNER.FE.ZS,"Out-of-school girls, primary (%)",%,worldbank,gender,20.3443107604981
2005,SE.PRM.UNER.MA.ZS,"Out-of-school boys, primary (%)",%,worldbank,gender,20.3011703491211
2005,SE.PRM.UNER.ZS,"Out-of-school children, primary (%)",%,worldbank,access,20.3222999572754
2005,SE.SEC.CMPT.LO.ZS,Lower secondary completion rate (%),%,worldbank,learning,56.1708183288574
2005,SE.SEC.ENRL.TC.ZS,"Pupil-teacher ratio, secondary",ratio,worldbank,teacher,9.04021
2005,SE.SEC.ENRR,"Secondary enrollment, gross (%)",%,worldbank,access,66.4239807128906
2005,SE.SEC.TCHR,Teachers in secondary (count),count,worldbank,teacher,41801
2005,SE.XPD.TOTL.GB.ZS,Education expenditure (% of govt spend),%,worldbank,expenditure,8.42131042480469
2005,SE.XPD.TOTL.GD.ZS,Education expenditure (% of GDP),%,worldbank,expenditure,2.64619994163513
2005,SL.UEM.1524.ZS,Youth unemployment rate (%),%,worldbank,economic,20.489
2005,SL.UEM.TOTL.ZS,Unemployment rate (%),%,worldbank,economic,8.249
2005,SM.POP.NETM,Net migration (count),count,worldbank,displacement,1224
2006,CME_MRY0T4,Under-5 mortality rate,per 1k,unicef,wellbeing,14.6334398961097
2006,NY.GDP.PCAP.CD,GDP per capita (USD),USD,worldbank,economic,4635.2514117486
2006,ROFST.1.CP,"Out-of-school rate, primary (%)",%,uis,access,21.32147026062012
2006,ROFST.2.CP,"Out-of-school rate, lower secondary (%)",%,uis,access,24.85128974914551
2006,SE.PRM.CMPT.FE.ZS,Female primary completion rate (%),%,worldbank,gender,76.6528472900391
2006,SE.PRM.CMPT.MA.ZS,Male primary completion rate (%),%,worldbank,gender,72.48486328125
2006,SE.PRM.CMPT.ZS,Primary completion rate (%),%,worldbank,learning,74.5245513916016
