name,amenity,country,iso3,source,latitude,longitude,addr_city,operator,building,near_hotspot,hotspot_info
Al-Shate'e Prep. Female School (A),school,Palestine,PSE,HOTOSM/OSM,31.534286,34.447326,,,,True,Deir El Balah (3 events)
مدرسة إيليت لتعليم قيادة السيارات,school,Palestine,PSE,HOTOSM/OSM,31.52207,34.440815,,,,True,Deir El Balah (3 events)
مدارس الجنان الدولية-جنين,school,Palestine,PSE,HOTOSM/OSM,32.474815,35.294981,,,,True,Jenin (43 events)
مدرسة خالد بن سعيد,school,Palestine,PSE,HOTOSM/OSM,32.313604,35.024317,,,,True,Tulkarm (40 events)
בית ספר גאון הירדן,school,Palestine,PSE,HOTOSM/OSM,32.492437,35.528568,,,,False,
אולפנת עפרה,school,Palestine,PSE,HOTOSM/OSM,31.956366,35.259927,,,,True,Al Quds (93 events)
Palestine technical university - kadoorie,university,Palestine,PSE,HOTOSM/OSM,32.313376,35.022438,,,,True,Tulkarm (40 events)
Al Quds Open University,university,Palestine,PSE,HOTOSM/OSM,32.317595,35.031599,,,,True,Tulkarm (40 events)
מכון שלום הרטמן,college,Palestine,PSE,HOTOSM/OSM,31.76637,35.217597,,,,True,Bethlehem (68 events)
Faculty of Administrative and Finance Sciences,college,Palestine,PSE,HOTOSM/OSM,31.695734,35.18756,,,,True,Bethlehem (68 events)
Faculty of Arts,college,Palestine,PSE,HOTOSM/OSM,31.695719,35.187454,,,,True,Bethlehem (68 events)
Faculty of Postgraduate Studies and Scientific Research,college,Palestine,PSE,HOTOSM/OSM,31.695728,35.187668,,,,True,Bethlehem (68 events)
حضانة الأم الحنون,kindergarten,Palestine,PSE,HOTOSM/OSM,31.272345,34.256683,,,,True,Khan Yunis (9 events)
Kindergarden,kindergarten,Palestine,PSE,HOTOSM/OSM,31.722772,35.170833,,,,True,Bethlehem (68 events)
גן אורן,kindergarten,Palestine,PSE,HOTOSM/OSM,32.004439,34.948072,,,,False,
Salah Al-Deen Kindergarten,kindergarten,Palestine,PSE,HOTOSM/OSM,31.502479,34.426111,,,,True,Deir El Balah (3 events)
مدرسة خزاعة الابتدائية المشتركة للاجئين,kindergarten,Palestine,PSE,HOTOSM/OSM,31.308013,34.361074,,,,True,Khan Yunis (9 events)
Affaq Kindergarten,kindergarten,Palestine,PSE,HOTOSM/OSM,31.458511,34.389221,,,,True,Deir El Balah (3 events)
مدرسة الفاضلية الثانوية للبنين,school,Palestine,PSE,HOTOSM/OSM,32.31308,35.023657,,,,True,Tulkarm (40 events)
מוסד הרב קוק,school,Palestine,PSE,HOTOSM/OSM,31.788795,35.199063,,,,True,Bethlehem (68 events)
Heteen School For Girls,school,Palestine,PSE,HOTOSM/OSM,32.151106,35.04386,,,,True,Qalqilya (66 events)
ישיבת עוד יוסף חי,school,Palestine,PSE,HOTOSM/OSM,32.171726,35.236124,,,,True,Nablus (156 events)
مدرسة الجامعة,school,Palestine,PSE,HOTOSM/OSM,31.539376,35.103165,,,,True,Hebron (147 events)
ישיבת אור שמואל,school,Palestine,PSE,HOTOSM/OSM,31.790194,35.210821,,,,True,Bethlehem (68 events)
אולפנת רעיה,school,Palestine,PSE,HOTOSM/OSM,31.94474,35.226364,,,,True,Al Quds (93 events)
روضة جنة الصغار,kindergarten,Palestine,PSE,HOTOSM/OSM,31.493912,34.475395,,,,True,Deir El Balah (3 events)
مدرسة صفا الاساسية للبنات,school,Palestine,PSE,HOTOSM/OSM,31.905764,35.060578,,,,False,
مدرسة النبي صالح الثانوية المختلطة,school,Palestine,PSE,HOTOSM/OSM,32.019128,35.124805,,,,True,Salfit (50 events)
المعهد الديني الأزهري,school,Palestine,PSE,HOTOSM/OSM,31.515194,34.439124,,,,True,Deir El Balah (3 events)
Tura High School For Boys,school,Palestine,PSE,HOTOSM/OSM,32.466716,35.159554,,,,False,
مدرسة دير اللاتين,school,Palestine,PSE,HOTOSM/OSM,31.501735,34.464053,,,,True,Deir El Balah (3 events)
Yeshivas Bais Yisrael,school,Palestine,PSE,HOTOSM/OSM,31.840362,35.247746,,,,True,Al Quds (93 events)
Gaza Society College for the Tourism Studies,college,Palestine,PSE,HOTOSM/OSM,31.516848,34.434086,,,,True,Deir El Balah (3 events)
روضة السعيد الإسلامية,kindergarten,Palestine,PSE,HOTOSM/OSM,31.497185,34.464376,,,,True,Deir El Balah (3 events)
Shomo'a Beit Egza kindergarten,kindergarten,Palestine,PSE,HOTOSM/OSM,31.847452,35.152105,,,,True,Al Quds (93 events)
Beita Girls Elementary School,school,Palestine,PSE,HOTOSM/OSM,32.143999,35.285778,,,,False,
Beita Mixed Elementary School,school,Palestine,PSE,HOTOSM/OSM,32.142151,35.283508,,,,False,
مدرسة سفارين الثانوية المختلطةمدرسة سفارين الاساسية المختلطة,school,Palestine,PSE,HOTOSM/OSM,32.260588,35.109327,,,,True,Tulkarm (40 events)
Kafa Mixed Elementary School,school,Palestine,PSE,HOTOSM/OSM,32.292542,35.04981,,,,True,Tulkarm (40 events)
Atil Boys Elementary School,school,Palestine,PSE,HOTOSM/OSM,32.368552,35.070051,,,,True,Tulkarm (40 events)
Al-Ansar Girls Elementary School,school,Palestine,PSE,HOTOSM/OSM,31.453442,35.108173,,,,True,Hebron (147 events)
Sarta Secondary School For Boys,school,Palestine,PSE,HOTOSM/OSM,32.103221,35.089875,,,,True,Salfit (50 events)
