Country,Admin1,Admin2,Year,Events,Fatalities
Haiti,Nord,Plaisance,2026,1,1
Haiti,Nord,Saint Raphael,2018,0,0
Haiti,Nord,Saint Raphael,2019,0,0
Haiti,Nord,Saint Raphael,2020,1,0
Haiti,Nord,Saint Raphael,2021,1,6
Haiti,Nord,Saint Raphael,2022,0,0
Haiti,Nord,Saint Raphael,2023,0,0
Haiti,Nord,Saint Raphael,2024,1,1
Haiti,Nord,Saint Raphael,2025,1,0
Haiti,Nord,Saint Raphael,2026,0,0
Haiti,Nord-Est,Fort Liberte,2018,1,0
Haiti,Nord-Est,Fort Liberte,2019,0,0
Haiti,Nord-Est,Fort Liberte,2020,1,0
Haiti,Nord-Est,Fort Liberte,2021,0,0
Haiti,Nord-Est,Fort Liberte,2022,1,0
Haiti,Nord-Est,Fort Liberte,2023,1,2
Haiti,Nord-Est,Fort Liberte,2024,2,2
Haiti,Nord-Est,Fort Liberte,2025,1,1
Haiti,Nord-Est,Fort Liberte,2026,1,1
Haiti,Nord-Est,Ouanaminthe,2018,4,1
Haiti,Nord-Est,Ouanaminthe,2019,3,3
Haiti,Nord-Est,Ouanaminthe,2020,1,1
Haiti,Nord-Est,Ouanaminthe,2021,2,1
Haiti,Nord-Est,Ouanaminthe,2022,3,2
Haiti,Nord-Est,Ouanaminthe,2023,2,0
Haiti,Nord-Est,Ouanaminthe,2024,4,2
Haiti,Nord-Est,Ouanaminthe,2025,4,5
Haiti,Nord-Est,Ouanaminthe,2026,0,0
Haiti,Nord-Est,Trou Du Nord,2018,5,3
Haiti,Nord-Est,Trou Du Nord,2019,0,0
Haiti,Nord-Est,Trou Du Nord,2020,0,0
Haiti,Nord-Est,Trou Du Nord,2021,1,0
Haiti,Nord-Est,Trou Du Nord,2022,0,0
Haiti,Nord-Est,Trou Du Nord,2023,1,0
Haiti,Nord-Est,Trou Du Nord,2024,1,0
Haiti,Nord-Est,Trou Du Nord,2025,1,1
Haiti,Nord-Est,Trou Du Nord,2026,2,2
Haiti,Nord-Est,Vallieres,2018,0,0
Haiti,Nord-Est,Vallieres,2019,0,0
Haiti,Nord-Est,Vallieres,2020,0,0
Haiti,Nord-Est,Vallieres,2021,0,0
Haiti,Nord-Est,Vallieres,2022,0,0
Haiti,Nord-Est,Vallieres,2023,0,0
Haiti,Nord-Est,Vallieres,2024,0,0
Haiti,Nord-Est,Vallieres,2025,0,0
Haiti,Nord-Est,Vallieres,2026,0,0
Haiti,Nord-Ouest,Mole Saint Nicolas,2018,0,0
Haiti,Nord-Ouest,Mole Saint Nicolas,2019,0,0
Haiti,Nord-Ouest,Mole Saint Nicolas,2020,0,0
Haiti,Nord-Ouest,Mole Saint Nicolas,2021,0,0
Haiti,Nord-Ouest,Mole Saint Nicolas,2022,1,2
Haiti,Nord-Ouest,Mole Saint Nicolas,2023,0,0
Haiti,Nord-Ouest,Mole Saint Nicolas,2024,0,0
Haiti,Nord-Ouest,Mole Saint Nicolas,2025,3,9
Haiti,Nord-Ouest,Mole Saint Nicolas,2026,1,0
Haiti,Nord-Ouest,Port De Paix,2018,1,2
Haiti,Nord-Ouest,Port De Paix,2019,1,1
Haiti,Nord-Ouest,Port De Paix,2020,1,0
Haiti,Nord-Ouest,Port De Paix,2021,5,3
Haiti,Nord-Ouest,Port De Paix,2022,8,2
Haiti,Nord-Ouest,Port De Paix,2023,2,1
Haiti,Nord-Ouest,Port De Paix,2024,2,2
Haiti,Nord-Ouest,Port De Paix,2025,3,3
Haiti,Nord-Ouest,Port De Paix,2026,0,0
Haiti,Nord-Ouest,Saint Louis Du Nord,2018,2,2
Haiti,Nord-Ouest,Saint Louis Du Nord,2019,0,0
Haiti,Nord-Ouest,Saint Louis Du Nord,2020,6,14
Haiti,Nord-Ouest,Saint Louis Du Nord,2021,0,0
Haiti,Nord-Ouest,Saint Louis Du Nord,2022,2,2
Haiti,Nord-Ouest,Saint Louis Du Nord,2023,1,0
Haiti,Nord-Ouest,Saint Louis Du Nord,2024,0,0
Haiti,Nord-Ouest,Saint Louis Du Nord,2025,5,4
Haiti,Nord-Ouest,Saint Louis Du Nord,2026,0,0
Haiti,Ouest,Archaie,2018,9,15
Haiti,Ouest,Archaie,2019,4,2
Haiti,Ouest,Archaie,2020,5,2
Haiti,Ouest,Archaie,2021,6,2
Haiti,Ouest,Archaie,2022,13,90
Haiti,Ouest,Archaie,2023,17,117
Haiti,Ouest,Archaie,2024,19,84
Haiti,Ouest,Archaie,2025,11,77
Haiti,Ouest,Archaie,2026,4,5
Haiti,Ouest,Croix Des Bouquets,2018,3,2
Haiti,Ouest,Croix Des Bouquets,2019,9,7
Haiti,Ouest,Croix Des Bouquets,2020,27,23
Haiti,Ouest,Croix Des Bouquets,2021,51,7
Haiti,Ouest,Croix Des Bouquets,2022,97,143
Haiti,Ouest,Croix Des Bouquets,2023,77,142
Haiti,Ouest,Croix Des Bouquets,2024,28,48
Haiti,Ouest,Croix Des Bouquets,2025,22,82
Haiti,Ouest,Croix Des Bouquets,2026,4,2
Haiti,Ouest,La Gonave,2018,1,1
Haiti,Ouest,La Gonave,2019,0,0
Haiti,Ouest,La Gonave,2020,0,0
Haiti,Ouest,La Gonave,2021,2,4
Haiti,Ouest,La Gonave,2022,0,0
Haiti,Ouest,La Gonave,2023,2,1
Haiti,Ouest,La Gonave,2024,3,0
Haiti,Ouest,La Gonave,2025,5,2
Haiti,Ouest,La Gonave,2026,1,2
Haiti,Ouest,Leogane,2018,8,3
Haiti,Ouest,Leogane,2019,4,1
Haiti,Ouest,Leogane,2020,10,11
Haiti,Ouest,Leogane,2021,8,4
Haiti,Ouest,Leogane,2022,5,4
Haiti,Ouest,Leogane,2023,9,7
Haiti,Ouest,Leogane,2024,12,31
Haiti,Ouest,Leogane,2025,14,19
Haiti,Ouest,Leogane,2026,2,2
Haiti,Ouest,Port-au-Prince,2018,53,113
Haiti,Ouest,Port-au-Prince,2019,118,161
Haiti,Ouest,Port-au-Prince,2020,235,257
Haiti,Ouest,Port-au-Prince,2021,290,196
Haiti,Ouest,Port-au-Prince,2022,314,308
Haiti,Ouest,Port-au-Prince,2023,403,524
Haiti,Ouest,Port-au-Prince,2024,462,826
Haiti,Ouest,Port-au-Prince,2025,527,964
Haiti,Ouest,Port-au-Prince,2026,58,50
Haiti,Sud,Aquin,2018,0,0
Haiti,Sud,Aquin,2019,1,0
Haiti,Sud,Aquin,2020,1,0
Haiti,Sud,Aquin,2021,0,0
Haiti,Sud,Aquin,2022,0,0
Haiti,Sud,Aquin,2023,1,1
Haiti,Sud,Aquin,2024,0,0
Haiti,Sud,Aquin,2025,2,2
Haiti,Sud,Aquin,2026,0,0
Haiti,Sud,Cayes,2018,2,2
Haiti,Sud,Cayes,2019,6,1
Haiti,Sud,Cayes,2020,1,1
Haiti,Sud,Cayes,2021,5,3
Haiti,Sud,Cayes,2022,9,6
Haiti,Sud,Cayes,2023,10,11
Haiti,Sud,Cayes,2024,13,15
Haiti,Sud,Cayes,2025,13,17
Haiti,Sud,Cayes,2026,2,2
Haiti,Sud,Chardonnieres,2018,0,0
Haiti,Sud,Chardonnieres,2019,0,0
Haiti,Sud,Chardonnieres,2020,0,0
Haiti,Sud,Chardonnieres,2021,0,0
Haiti,Sud,Chardonnieres,2022,0,0
Haiti,Sud,Chardonnieres,2023,6,18
Haiti,Sud,Chardonnieres,2024,0,0
Haiti,Sud,Chardonnieres,2025,0,0
Haiti,Sud,Chardonnieres,2026,0,0
Haiti,Sud,Coteaux,2018,0,0
Haiti,Sud,Coteaux,2019,0,0
Haiti,Sud,Coteaux,2020,0,0
Haiti,Sud,Coteaux,2021,0,0
Haiti,Sud,Coteaux,2022,0,0
Haiti,Sud,Coteaux,2023,0,0
Haiti,Sud,Coteaux,2024,0,0
Haiti,Sud,Coteaux,2025,0,0
Haiti,Sud,Coteaux,2026,0,0
Haiti,Sud,Port Salut,2018,0,0
Haiti,Sud,Port Salut,2019,0,0
Haiti,Sud,Port Salut,2020,1,2
Haiti,Sud,Port Salut,2021,0,0
Haiti,Sud,Port Salut,2022,1,0
Haiti,Sud,Port Salut,2023,2,2
Haiti,Sud,Port Salut,2024,0,0
Haiti,Sud,Port Salut,2025,0,0
Haiti,Sud,Port Salut,2026,0,0
Haiti,Sud-Est,Bainet,2018,0,0
Haiti,Sud-Est,Bainet,2019,0,0
Haiti,Sud-Est,Bainet,2020,0,0
Haiti,Sud-Est,Bainet,2021,1,0
Haiti,Sud-Est,Bainet,2022,0,0
Haiti,Sud-Est,Bainet,2023,0,0
Haiti,Sud-Est,Bainet,2024,0,0
Haiti,Sud-Est,Bainet,2025,1,1
Haiti,Sud-Est,Bainet,2026,0,0
Haiti,Sud-Est,Belle Anse,2018,0,0
Haiti,Sud-Est,Belle Anse,2019,0,0
Haiti,Sud-Est,Belle Anse,2020,0,0
Haiti,Sud-Est,Belle Anse,2021,0,0
Haiti,Sud-Est,Belle Anse,2022,0,0
Haiti,Sud-Est,Belle Anse,2023,1,3
Haiti,Sud-Est,Belle Anse,2024,0,0
Haiti,Sud-Est,Belle Anse,2025,0,0
Haiti,Sud-Est,Belle Anse,2026,0,0
Haiti,Sud-Est,Jacmel,2018,1,0
Haiti,Sud-Est,Jacmel,2019,1,0
Haiti,Sud-Est,Jacmel,2020,4,2
Haiti,Sud-Est,Jacmel,2021,0,0
Haiti,Sud-Est,Jacmel,2022,2,3
Haiti,Sud-Est,Jacmel,2023,0,0
Haiti,Sud-Est,Jacmel,2024,4,6
Haiti,Sud-Est,Jacmel,2025,4,4
Haiti,Sud-Est,Jacmel,2026,2,1
Lebanon,Akkar,Akkar,2016,8,1
Lebanon,Akkar,Akkar,2017,8,2
Lebanon,Akkar,Akkar,2018,3,0
Lebanon,Akkar,Akkar,2019,2,0
Lebanon,Akkar,Akkar,2020,1,0
Lebanon,Akkar,Akkar,2021,8,2
Lebanon,Akkar,Akkar,2022,4,0
Lebanon,Akkar,Akkar,2023,6,0
Lebanon,Akkar,Akkar,2024,6,29
Lebanon,Akkar,Akkar,2025,8,1
Lebanon,Akkar,Akkar,2026,2,1
Lebanon,Al Nabatieh,Al Nabatieh,2016,0,0
Lebanon,Al Nabatieh,Al Nabatieh,2017,1,0
Lebanon,Al Nabatieh,Al Nabatieh,2018,1,0
