country_name,World Bank income group,Is student attendance recorded?,Can individual students who received school feeding be linked to attendance?,Describe impacts of school feeding on students,Did your country have a national school feeding program?,total_children_fed,pct_coverage,prop_preschool_fed,prop_primary_fed,prop_secondary_fed,prop_preschool_students_fed,prop_primary_students_fed,prop_secondary_students_fed,Fatalities,Events
Libya,Upper middle income,Yes,,Assessment of the basis - evidence of the presence of cases of anemia - dwarfism - obesity,Yes,,,,,,,,,,
Lithuania,High income,Yes,Yes,,Yes,,,,,,,,,,
Luxembourg,High income,,,,Yes,,,,,,,,,,
Madagascar,Low income,Yes,Yes,,Yes,,,,,,,,,,
Malawi,Low income,Yes,Yes,"Impact studies of programme on eduation indicators such as enrolment, attendance, dropout",Yes,,,,,,,,,,
Malaysia,Upper middle income,Yes,,"1. Cultivate good health practices and positive attributes.
2. Successfully improve children health.
3. Improve student attendance.",Yes,,,,,,,,,,
Mali,Low income,Yes,Yes,". Réduction des abandons des filles et des garçons ;
. Élimination des absences volontaires des filles et des garçons ;
. Augmentation de la fréquentation scolaire ;
. Augmentation de la performance et de l'assiduité des élèves ;
. Réduction des retards ;
. Réduction de la fatigue des élèves ;
. Augmentation de l'intérêt des enfants pour l'école; 
. Offre d'un régime alimentaire amélioré.",Yes,581014.0,12.10768699645996,0.02845536544919014,14.761595726013184,5.84894323348999,0.4877185821533203,17.813499450683594,11.365106582641602,11553.0,5168.0
Malta,High income,Yes,Yes,,Yes,,,,,,,,,,
Mauritania,Lower middle income,Yes,Yes,,Yes,,,,,,,,,,
Mexico,Upper middle income,Yes,,"De acuerdo con los resultados de la Evaluación del Estado Nutricional aplicada casi en su totalidad en beneficiarios del Programa de Desayunos Escolares, el indicador de peso para la edad, mostró, en el caso de la desnutrición avances notables, la desnutrición severa bajó a cerca de la mitad de los valores previos, igual que la desnutrición moderada, en conjunto en niños bajó a la mitad y en niñas aún más.
",Yes,,,,,,,,,,
Micronesia,Lower middle income,,,,No,,,,,,,,,,
