country_name,World Bank income group,Is student attendance recorded?,Can individual students who received school feeding be linked to attendance?,Describe impacts of school feeding on students,Did your country have a national school feeding program?,total_children_fed,pct_coverage,prop_preschool_fed,prop_primary_fed,prop_secondary_fed,prop_preschool_students_fed,prop_primary_students_fed,prop_secondary_students_fed,Fatalities,Events
Monaco,High income,Yes,Yes,,Yes,,,,,,,,,,
Mongolia,Lower middle income,Yes,,,Yes,,,,,,,,,,
Montenegro,Upper middle income,,,,No,,,,,,,,,,
Mozambique,Low income,Yes,Yes,"- DISSEMINADOS OS HÁBITOS ALIMENTARES SAUDÁVEIS NOS ALUNOS;

- EXPANDIDA A CAPACIDADE DE GESTÃO DA ALIMENTAÇÃO ESCOLAR.",Yes,,,,,,,,,3285.0,2259.0
Namibia,Upper middle income,Yes,Yes,"Case Study Report by WFP
Attendance, retention and enrollment of learners at primary level",Yes,,,,,,,,,,
Nepal,Lower middle income,Yes,,,Yes,,,,,,,,,,
Netherlands,High income,Yes,,,Yes,,,,,,,,,,
New Zealand,High income,Yes,,,Yes,,,,,,,,,,
Niger,Low income,Yes,Yes,"Des études ont permis en substance de voir que les enfants issus des écoles à cantines sont plus réguliers à l'école. Le taux de réussite et la diplomation sont plus performants chez les enfants ayant bénéficié du programme d'alimentation. Les filles restent à l'école et fréquentent régulièrement les cours et sont assurées de la protection contre le mariage précoce, les grossesses non désirées et sont plus instruites sur les questions de la santé de la reproduction et du bien être de la femme. Les repas servis,de part leur qualité nutritionnelle et l'hygiène aux élèves, assurent aux élèves un bon développement cognitif et leur donne un avantage comparatif à l'acquisition des connaissance et même au développement physique. ",Yes,612713.0,8.31290340423584,0.08833435922861099,10.992121696472168,4.8809332847595215,1.199875831604004,16.15756607055664,22.67751121520996,4376.0,2089.0
Nigeria,Lower middle income,Yes,Yes,,Yes,9887000.0,16.10440635681152,0.0,29.42747688293457,0.0,0.0,35.45075988769531,0.0,62163.0,20230.0
North Macedonia,Upper middle income,Yes,,,Yes,,,,,,,,,,
Norway,High income,,,,No,,,,,,,,,,
Pakistan,Lower middle income,,,,No,,,,,,,,,,
Palau,High income,Yes,Yes,,Yes,,,,,,,,,,
Panama,Upper middle income,Yes,,,Yes,,,,,,,,,,
Peru,Upper middle income,Yes,Yes,Impacto en la memoria de corto plazo para los logros de aprendizaje en escolares del nivel primario que no viene tomando desayuno en casa. El servicio alimentario brindado permitió generar un ahorro no monetario en familias de estudiantes que participan en el programa.,Yes,,,,,,,,,,
Philippines,Lower middle income,Yes,,"The result of the Impact Evaluation Study on SBFP by the Phil. Institute for Development Studies (PIDS) showed improved attentiveness and sociability of SBFP beneficiaries. 

Based on the SBFP Evaluation and Feedback Survey,  the parents had an impression that their children became enthusiastic and energetic, gained weight after consuming the food commodities given, the body condition of the beneficiaries improved, and their immune system was strengthened.",Yes,,,,,,,,,,
Poland,High income,Yes,,"The factor which adversely differentiates the school environment in terms of healthy nutrition and physical activity is primarily the school size, and then the school location. Systemic and social solutions should aim at reducing the small school “exclusion syndrome”, both in rural and in urban areas, also with regard to infrastructure and availability of 
conditions conducive to healthy nutrition and physical activity.

Health promoting schools have  better facilities  for  eating  at  school;  more  often  offered  lunches,  second breakfasts, healthy products, have written policies designed to increase the consumption of healthy food and to limit the consumption of unhealthy 
food. ",Yes,,,,,,,,,,
Portugal,High income,Yes,,,Yes,,,,,,,,,,
Republic of Congo,Lower middle income,Yes,Yes,revision de la stratégie sectorielle de l'éducation pour élargir les cantines scolaires,Yes,,,,,,,,,,
Romania,Upper middle income,Yes,,No studies.,Yes,,,,,,,,,,
Saint Kitts and Nevis,High income,Yes,,,Yes,,,,,,,,,,
Saint Lucia,Upper middle income,Yes,Yes,UWI Survery conducted in 2018 sponsored by FAO,Yes,,,,,,,,,,
Saint Vincent and the Grenadines,Upper middle income,Yes,,The annual net benefit analysis carried out has demonstrated that the programme in primary schools can be justified from a social welfare perspective with a benefit-cost ratio of 1.60. The programme is therefore demonstrating a high degree of social value,Yes,,,,,,,,,,
Samoa,Lower middle income,,,,No,,,,,,,,,,
San Marino,High income,Yes,Yes,,Yes,,,,,,,,,,
Sao Tome and Principe,Lower middle income,Yes,Yes,,Yes,,,,,,,,,,
Senegal,Lower middle income,,,,Yes,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,
Serbia,Upper middle income,Yes,,"A pilot scheme was held in Serbia ""Strength2Food"". Researchers helped with procurement criteria to improve food quality, with teachers to improve nutritional awareness of children and parents, as well as with cooks to improve the nutrition of school meals.",Yes,,,,,,,,,,
