Country,Admin1,Admin2,ISO3,Admin2 Pcode,Admin1 Pcode,Month,Year,Events,Fatalities
Syria,Tartous,Dreikish,SYR,SY1004,SY10,May,2017,0,0
Syria,Al Hasakeh,Al Malikeyyeh,SYR,SY0803,SY08,May,2017,1,0
Syria,Al Hasakeh,Quamishli,SYR,SY0802,SY08,May,2017,1,2
Syria,As Sweida,Salkhad,SYR,SY1302,SY13,May,2017,0,0
Syria,Deir ez Zor,Al Mayadin,SYR,SY0903,SY09,May,2017,17,156
Syria,Tartous,Qadmous,SYR,SY1006,SY10,May,2017,0,0
Syria,Damascus,Damascus,SYR,SY0100,SY01,May,2017,9,6
Syria,Dara,Dara,SYR,SY1200,SY12,May,2017,43,61
Syria,Hama,As Suqaylabiyah,SYR,SY0502,SY05,May,2017,1,1
Syria,Homs,Al Makhrim,SYR,SY0406,SY04,May,2017,3,10
Syria,Lattakia,Al Qardaha,SYR,SY0604,SY06,May,2017,0,0
Syria,Lattakia,Lattakia,SYR,SY0600,SY06,May,2017,0,0
Syria,Rural Damascus,Darayya,SYR,SY0309,SY03,May,2017,2,2
Syria,Tartous,Banyas,SYR,SY1002,SY10,May,2017,0,0
Syria,Tartous,Safita,SYR,SY1003,SY10,May,2017,0,0
Syria,Tartous,Tartous,SYR,SY1000,SY10,May,2017,0,0
Syria,Aleppo,Afrin,SYR,SY0203,SY02,May,2017,0,0
Syria,Dara,As Sanamayn,SYR,SY1202,SY12,May,2017,3,3
Syria,Dara,Izra,SYR,SY1203,SY12,May,2017,6,13
Syria,Aleppo,Al Bab,SYR,SY0202,SY02,May,2017,8,15
Syria,Aleppo,As Safira,SYR,SY0207,SY02,May,2017,1,2
Syria,Hama,Masyaf,SYR,SY0504,SY05,May,2017,1,1
Syria,Homs,Homs,SYR,SY0401,SY04,May,2017,14,27
Syria,Homs,Tadmor,SYR,SY0405,SY04,May,2017,2,14
Syria,Idleb,Ariha,SYR,SY0705,SY07,May,2017,1,5
Syria,Lattakia,Al Haffa,SYR,SY0603,SY06,May,2017,0,0
Syria,Lattakia,Jablah,SYR,SY0602,SY06,May,2017,0,0
Syria,Rural Damascus,Al Qutayfah,SYR,SY0303,SY03,May,2017,2,3
Syria,Rural Damascus,Rural Damascus,SYR,SY0301,SY03,May,2017,37,61
Syria,Tartous,Sheikh Badr,SYR,SY1005,SY10,May,2017,0,0
Syria,Al Hasakeh,Al Hasakeh,SYR,SY0800,SY08,May,2017,18,58
