"year","ISO","ISO_No","Country_N","Adm_N","GID_1","HASC","PWC_Lat","PWC_Lon","Pop","Density","Area","PWD_A","PWD_G","PWD_M","PWD_D1","PWD_D2","PWD_D3","PWD_D4","PWD_D5","PWD_D6","PWD_D7","PWD_D8","PWD_D9","PWD_D10"
"2000","RUS","643","Russia","Chelyabinsk","RUS.11_1","RU.CL","54.7878761291504","60.5530586242676","3646983","42.4","85923.4","2259.4","705.5","1142.9","32.9","143.3","352.5","675.5","1142.9","1770.9","2715.5","4488.3","7075.5","8977.6"
"2000","RUS","643","Russia","Chuvash","RUS.13_1","RU.CV","55.8196296691895","47.2372589111328","1337337","74.4","17979.1","2448.4","693.6","1458.9","26.7","79.7","211.4","542.7","1458.9","2459.8","3336.2","4597.7","6909.7","12215.0"
"2000","RUS","643","Russia","City of St. Petersburg","RUS.14_1","RU.SP","59.9118156433105","30.3118572235107","4289115","2152.8","1992.3","11423.1","7613.2","10569.6","1636.8","4023.3","6062.1","8320.0","10569.6","12758.2","15258.8","18042.9","21347.9","46819.8"
"2000","RUS","643","Russia","Dagestan","RUS.15_1","RU.DA","42.7288436889648","47.3145599365234","2494861","51.3","48661.5","4131.3","564.8","590.0","23.0","57.0","134.4","283.4","590.0","1476.8","3227.0","5806.5","9460.7","71663.2"
"2000","RUS","643","Russia","Gorno-Altay","RUS.16_1","RU.GA","51.3524169921875","86.2508926391602","203148","2.2","92205.6","487.8","39.5","50.9","0.8","1.8","4.6","14.3","50.9","137.6","342.2","902.1","1843.2","3637.4"
"2000","RUS","643","Russia","Ingush","RUS.17_1","RU.IN","43.2780151367188","44.9207458496094","515962","160.3","3219.5","1181.5","566.0","710.9","75.5","163.1","293.1","466.3","710.9","1004.1","1431.0","2091.3","3084.7","7053.5"
"2000","RUS","643","Russia","Irkutsk","RUS.18_1","RU.IK","53.968391418457","103.271621704102","2633213","3.5","749108.4","1807.8","352.4","688.1","11.0","40.2","113.6","316.2","688.1","1202.1","2141.5","3568.0","5626.8","8993.8"
"2000","RUS","643","Russia","Ivanovo","RUS.19_1","RU.IV","57.0441932678223","41.3425979614258","1194816","52.6","22726.1","2921.0","908.9","1909.5","28.6","148.8","427.6","1172.2","1909.5","2678.6","3751.0","5525.2","8265.5","11284.3"
"2000","RUS","643","Russia","Kabardin-Balkar","RUS.20_1","RU.KB","43.5518760681152","43.6981353759766","904440","77.4","11692.5","2174.2","670.8","853.0","43.0","120.9","241.6","451.3","853.0","1851.1","3129.1","4593.9","6126.6","10265.8"
"2000","RUS","643","Russia","Kaliningrad","RUS.21_1","RU.KN","54.7258834838867","20.8320579528809","962405","71.5","13465.7","1942.1","652.5","1230.9","26.5","108.4","282.6","651.4","1230.9","1951.9","2746.0","3908.5","5169.8","7141.2"
"2000","RUS","643","Russia","Kalmyk","RUS.22_1","RU.KL","46.4094085693359","44.5565910339355","295454","4.0","73092.4","701.5","85.4","164.7","1.2","3.4","14.5","65.3","164.7","343.9","690.8","1366.0","2593.7","3665.1"
"2000","RUS","643","Russia","Kaluga","RUS.23_1","RU.KG","54.5736541748047","36.0008163452148","1061330","36.8","28817.0","1269.5","379.7","534.7","20.9","75.3","168.7","318.9","534.7","857.9","1390.6","2302.1","4168.4","6990.5"
"2000","RUS","643","Russia","Kamchatka","RUS.24_1","RU.KQ","53.6406402587891","158.88557434082","369977","0.8","451948.7","1706.8","260.6","657.7","1.1","38.4","141.4","320.8","657.7","1320.3","2337.3","3592.7","5033.5","9097.1"
"2000","RUS","643","Russia","Karachay-Cherkess","RUS.25_1","RU.KC","44.0155220031738","42.1591682434082","571626","38.1","14999.4","1838.7","554.3","774.4","28.0","111.2","225.6","416.9","774.4","1611.6","2889.3","3920.9","4801.4","7619.3"
"2000","RUS","643","Russia","Karelia","RUS.26_1","RU.KI","62.451488494873","33.6369934082031","738329","5.2","142138.2","1887.3","222.1","289.4","3.4","17.5","49.4","121.0","289.4","783.7","2327.6","4308.3","6543.5","9728.1"
"2000","RUS","643","Russia","Kemerovo","RUS.27_1","RU.KE","54.6095161437988","86.6129455566406","2946394","31.1","94889.8","1833.3","671.5","1121.4","35.5","182.3","427.4","729.4","1121.4","1596.6","2209.7","3176.0","4973.2","8719.5"
"2000","RUS","643","Russia","Khabarovsk","RUS.28_1","RU.KH","49.3753547668457","136.148956298828","1475481","1.9","771475.8","2218.1","535.6","1266.1","14.3","87.5","284.2","709.6","1266.1","2034.9","3097.6","4471.1","6390.7","8207.6"
"2000","RUS","643","Russia","Khakass","RUS.29_1","RU.KK","53.5951309204102","90.7976531982422","365048","6.2","59100.7","792.5","153.3","196.7","5.0","23.4","51.5","101.1","196.7","391.1","880.4","1586.0","2642.3","5080.6"
"2000","RUS","643","Russia","Khanty-Mansiy","RUS.30_1","RU.KM","61.4846534729004","72.1821899414062","1466113","2.9","504442.6","175.0","46.7","51.8","4.5","12.4","22.1","34.7","51.8","77.6","122.2","226.6","577.7","1614.3"
"2000","RUS","643","Russia","Kirov","RUS.31_1","RU.KV","58.3674964904785","49.7595748901367","1537474","13.0","118666.7","1514.8","327.9","601.0","7.5","43.2","137.6","317.9","601.0","996.9","1582.0","2613.3","4787.3","8539.3"
"2000","RUS","643","Russia","Komi","RUS.32_1","RU.KO","63.4935340881348","54.1692504882812","1054583","2.6","411724.2","1217.3","165.7","262.2","2.7","21.5","57.6","128.2","262.2","530.5","1006.6","1741.9","4183.8","9341.0"
"2000","RUS","643","Russia","Kostroma","RUS.33_1","RU.KT","58.0047760009766","42.1215476989746","757840","12.7","59456.2","2130.8","445.8","955.8","9.5","47.8","172.2","436.9","955.8","1570.7","2490.8","4253.0","6680.8","10053.7"
"2000","RUS","643","Russia","Krasnodar","RUS.34_1","RU.KD","45.0887336730957","39.2700157165527","5091959","68.0","74878.6","1165.9","380.2","510.8","26.6","70.8","160.8","299.5","510.8","804.4","1251.4","1936.6","3378.0","8296.1"
"2000","RUS","643","Russia","Krasnoyarsk","RUS.35_1","RU.KX","56.9464645385742","92.5393600463867","3196661","1.4","2252203.7","2318.8","458.8","1057.7","11.4","57.5","176.7","465.1","1057.7","1835.0","2937.3","4614.3","7209.6","10407.6"
"2000","RUS","643","Russia","Kurgan","RUS.36_1","RU.KU","55.5071220397949","64.7964782714844","1055630","15.0","70227.6","1358.7","251.3","410.2","5.8","26.9","85.5","202.7","410.2","701.3","1185.6","2518.4","4713.1","7822.5"
"2000","RUS","643","Russia","Kursk","RUS.37_1","RU.KS","51.7345962524414","36.0166320800781","1281486","41.6","30802.4","1747.7","479.5","839.5","13.8","64.5","189.5","446.8","839.5","1494.4","2401.5","3706.7","5113.8","7131.6"
"2000","RUS","643","Russia","Leningrad","RUS.38_1","RU.LN","59.8901290893555","30.6029281616211","2005487","27.1","74017.2","1910.7","257.6","247.9","17.7","41.5","83.8","148.1","247.9","406.2","688.7","1498.9","6384.5","29604.2"
"2000","RUS","643","Russia","Lipetsk","RUS.39_1","RU.LP","52.6010284423828","39.3504180908203","1235317","50.9","24276.7","1634.0","483.9","868.9","16.3","67.6","206.7","439.6","868.9","1505.3","2114.3","3069.0","4641.9","7892.0"
"2000","RUS","643","Russia","Maga Buryatdan","RUS.40_1","RU.MG","60.3447685241699","150.911727905273","190511","0.4","456639.9","888.0","97.5","186.1","0.6","12.1","40.8","95.3","186.1","366.0","699.4","1580.6","3445.4","5177.2"
"2000","RUS","643","Russia","Mariy-El","RUS.41_1","RU.ME","56.5324478149414","48.0955276489258","731518","32.0","22860.8","2294.1","502.7","813.0","16.1","50.1","144.0","317.8","813.0","2019.7","3316.1","5039.6","6892.0","10232.8"
"2000","RUS","643","Russia","Mordovia","RUS.42_1","RU.MR","54.2618789672852","44.8213920593262","909920","34.9","26064.8","1141.0","290.0","393.0","13.1","41.8","100.6","205.8","393.0","701.7","1267.9","2062.1","3488.9","7676.9"
"2000","RUS","643","Russia","Moscow City","RUS.43_1","NA","55.7392082214355","37.630931854248","9128216","8496.8","1074.3","13598.0","11582.0","12879.2","5319.3","7591.6","9526.0","11145.4","12879.2","14538.0","16606.3","19275.7","23026.5","39197.2"
"2000","RUS","643","Russia","Moskva","RUS.44_1","RU.MS","55.6982803344727","37.7511863708496","7535867","163.5","46094.6","3316.4","1019.0","1188.6","88.3","206.9","383.4","668.9","1188.6","2078.6","3514.2","5757.3","9420.1","31509.6"
"2000","RUS","643","Russia","Murmansk","RUS.45_1","RU.MM","68.5290222167969","32.970890045166","922056","6.8","134861.6","2155.7","444.2","592.4","20.4","67.3","144.8","276.2","592.4","1197.9","2691.2","4942.4","7252.4","9564.5"
"2000","RUS","643","Russia","Nenets","RUS.46_1","RU.NN","67.5532073974609","53.7678451538086","47145","0.3","168550.6","1173.9","95.2","570.5","0.1","2.3","21.6","90.5","570.5","1275.5","1761.6","2431.8","3343.9","5063.0"
"2000","RUS","643","Russia","Nizhegorod","RUS.47_1","RU.NZ","56.1260986328125","43.9481430053711","3573124","48.5","73719.2","5031.3","825.8","1093.9","31.0","128.8","302.2","571.3","1093.9","2186.4","3956.7","6462.2","10005.4","141239.4"
"2000","RUS","643","Russia","North Ossetia","RUS.48_1","RU.NO","43.1176261901855","44.5760307312012","664342","93.8","7083.1","2397.9","797.9","934.5","57.8","167.2","329.5","561.7","934.5","2034.7","3304.2","4802.6","7288.2","11175.4"
"2000","RUS","643","Russia","Novgorod","RUS.49_1","RU.NG","58.397632598877","32.1469306945801","729562","13.5","53958.8","1852.7","294.2","411.8","7.4","28.3","82.8","196.8","411.8","862.1","1741.0","3711.1","6709.5","10973.1"
"2000","RUS","643","Russia","Novosibirsk","RUS.50_1","RU.NS","54.939208984375","82.1364593505859","2710769","15.9","170897.4","3230.6","740.9","1932.5","15.0","73.2","255.8","938.9","1932.5","2989.0","4542.4","6859.8","9421.2","11019.1"
"2000","RUS","643","Russia","Omsk","RUS.51_1","RU.OM","55.1128463745117","73.3604278564453","2109817","15.4","137052.4","2634.2","577.3","1297.3","13.8","53.4","166.8","649.1","1297.3","2282.8","3925.0","5754.8","7767.5","9250.6"
"2000","RUS","643","Russia","Orel","RUS.52_1","RU.OL","52.8613433837891","36.381649017334","878821","36.3","24230.9","2892.0","641.6","1332.7","11.1","59.5","231.3","592.5","1332.7","2808.1","4177.5","5858.3","7281.8","23508.0"
"2000","RUS","643","Russia","Orenburg","RUS.53_1","RU.OB","51.9035568237305","55.6063385009766","2231383","18.0","123698.1","1684.6","343.6","600.7","7.6","36.6","123.8","298.9","600.7","1063.8","1898.1","3244.8","5539.0","8898.4"
"2000","RUS","643","Russia","Penza","RUS.54_1","RU.PZ","53.1678924560547","44.9424057006836","1466669","34.5","42523.3","1969.5","494.1","849.4","13.0","59.8","185.3","435.9","849.4","1732.1","2877.8","4029.6","5645.3","9233.7"
"2000","RUS","643","Russia","Perm'","RUS.55_1","RU.PE","58.1261901855469","56.2273483276367","2861314","18.2","157613.4","1029.3","315.6","511.0","14.6","60.6","154.4","295.9","511.0","812.3","1233.6","1856.7","2859.0","12652.2"
"2000","RUS","643","Russia","Primor'ye","RUS.56_1","RU.PR","43.684024810791","132.566848754883","2106788","13.1","161135.7","2563.4","522.6","939.7","14.1","63.5","187.0","445.5","939.7","1703.5","2964.4","4736.9","8750.1","12961.4"
"2000","RUS","643","Russia","Pskov","RUS.57_1","RU.PS","57.2270660400391","29.1052303314209","786537","15.0","52268.4","1835.5","370.4","791.4","4.6","30.5","148.7","362.8","791.4","1597.2","2583.0","3737.7","5311.1","8450.9"
"2000","RUS","643","Russia","Rostov","RUS.58_1","RU.RO","47.497917175293","40.2548370361328","4445228","45.1","98665.4","2638.0","689.4","1280.6","21.2","93.1","270.3","642.3","1280.6","2146.9","3368.7","4961.8","7895.1","12439.2"
"2000","RUS","643","Russia","Ryazan'","RUS.59_1","RU.RZ","54.4456062316895","40.1257476806641","1256493","32.0","39258.3","2054.4","499.2","997.9","14.5","59.3","159.8","392.7","997.9","1883.3","2707.7","3915.0","6150.1","9601.6"
"2000","RUS","643","Russia","Sakha","RUS.60_1","RU.SK","62.173999786377","126.786018371582","950780","0.3","2968893.8","468.8","33.0","71.5","0.2","1.3","8.8","31.4","71.5","143.0","278.4","619.5","1627.4","4225.5"
"2000","RUS","643","Russia","Sakhalin","RUS.61_1","RU.SL","47.9175415039062","142.842636108398","561787","6.7","84121.3","1178.6","199.7","288.1","5.1","25.9","64.7","140.4","288.1","535.6","1078.4","2043.8","4138.8","7277.2"
"2000","RUS","643","Russia","Samara","RUS.62_1","RU.SA","53.3201332092285","49.9753494262695","3273333","63.6","51495.3","3082.8","1153.5","2085.6","53.0","298.0","795.7","1390.6","2085.6","3000.3","4142.0","5898.3","7802.2","12287.7"
"2000","RUS","643","Russia","Saratov","RUS.63_1","RU.SR","51.632568359375","46.2546615600586","2717018","27.6","98264.4","2201.7","479.3","813.6","12.1","53.8","176.1","414.7","813.6","1495.0","2553.5","4171.1","7233.3","11671.9"
"2000","RUS","643","Russia","Smolensk","RUS.64_1","RU.SM","54.8433647155762","32.7529983520508","1069091","21.8","48930.7","3178.7","493.9","616.4","8.5","47.4","146.7","307.3","616.4","1326.2","4801.8","7445.0","10463.0","14689.2"
"2000","RUS","643","Russia","Stavropol'","RUS.65_1","RU.ST","44.6724662780762","42.8906898498535","2640140","39.6","66626.5","1503.5","411.9","632.5","18.6","61.2","156.7","327.5","632.5","1080.6","1777.7","2977.4","4611.6","8150.5"
"2000","RUS","643","Russia","Sverdlovsk","RUS.66_1","RU.SV","57.3362007141113","60.7464447021484","4550894","23.8","190945.2","1943.3","573.5","794.3","36.6","117.5","257.7","476.2","794.3","1265.5","2042.0","3610.1","6537.0","9535.6"
"2000","RUS","643","Russia","Tambov","RUS.67_1","RU.TB","52.7154273986816","41.4658546447754","1205080","35.5","33985.3","3112.8","620.0","1109.1","11.3","56.9","184.8","409.4","1109.1","2852.9","4700.0","6920.8","9286.8","12509.6"
"2000","RUS","643","Russia","Tatarstan","RUS.68_1","RU.TT","55.5457038879395","50.7454605102539","3834106","58.9","65044.2","2221.0","596.3","924.8","20.6","90.0","235.5","474.9","924.8","1643.8","2654.5","4398.4","7044.6","10502.7"
"2000","RUS","643","Russia","Tomsk","RUS.69_1","RU.TO","56.984130859375","84.309440612793","1049630","3.4","309731.0","2566.2","516.4","1152.7","7.0","67.7","238.0","656.5","1152.7","2104.2","3786.0","5689.6","7617.9","8725.3"
"2000","RUS","643","Russia","Tula","RUS.70_1","RU.TL","54.0440635681152","37.7212219238281","1706358","67.5","25284.7","2223.7","625.7","841.2","33.0","114.9","248.0","471.8","841.2","1461.5","2401.7","4029.9","7122.9","12309.7"
"2000","RUS","643","Russia","Tuva","RUS.71_1","RU.TU","51.4438209533691","93.4900054931641","306050","1.8","166934.5","668.5","55.3","81.2","0.9","2.1","6.2","23.8","81.2","253.1","612.7","1278.4","2453.8","4369.7"
"2000","RUS","643","Russia","Tver'","RUS.72_1","RU.TV","56.9861450195312","35.4271774291992","1521378","18.4","82683.9","1920.1","383.5","655.2","8.6","42.1","133.2","309.5","655.2","1228.9","2214.3","3715.3","6230.6","9552.6"
"2000","RUS","643","Russia","Tyumen'","RUS.73_1","RU.TY","57.049243927002","66.789436340332","1279708","8.3","154046.1","1750.6","386.9","646.5","10.1","53.8","161.1","372.8","646.5","1129.8","2062.5","3619.8","5891.0","7800.8"
"2000","RUS","643","Russia","Udmurt","RUS.74_1","RU.UD","56.9803810119629","53.1380424499512","1573905","38.2","41207.5","2806.3","765.9","1527.8","17.7","125.4","348.7","762.4","1527.8","2526.8","3873.4","5481.6","8254.6","11176.1"
"2000","RUS","643","Russia","Ul'yanovsk","RUS.75_1","RU.UL","54.1388511657715","48.2995910644531","1413073","40.7","34677.3","1786.0","516.6","914.5","17.5","74.9","219.1","502.4","914.5","1577.7","2480.8","3622.8","5037.9","7670.5"
"2000","RUS","643","Russia","Vladimir","RUS.76_1","RU.VL","56.0647888183594","40.6174163818359","1531132","53.1","28841.0","1716.6","519.8","806.0","26.0","88.9","206.1","419.3","806.0","1366.7","2169.1","3288.2","5050.9","9317.9"
"2000","RUS","643","Russia","Volgograd","RUS.77_1","RU.VG","49.1778984069824","44.333179473877","2737017","25.2","108807.9","2053.2","578.2","1328.3","13.3","81.2","285.6","755.5","1328.3","1947.5","2771.1","4007.7","5588.9","8890.5"
"2000","RUS","643","Russia","Vologda","RUS.78_1","RU.VO","59.4600830078125","39.6523780822754","1293171","9.2","140244.9","2603.1","403.9","931.8","6.5","29.5","93.9","254.1","931.8","2132.6","3520.8","5818.3","8403.6","10792.8"
"2000","RUS","643","Russia","Voronezh","RUS.79_1","RU.VR","51.2868003845215","39.7615356445312","2384366","46.4","51344.2","1992.8","484.3","641.0","17.6","66.3","180.7","347.8","641.0","1252.2","2455.0","4179.5","6435.3","9711.2"
"2000","RUS","643","Russia","Yamal-Nenets","RUS.80_1","RU.YN","65.0214538574219","74.8567581176758","497511","0.8","640478.0","152.4","29.5","37.7","1.8","6.8","13.9","23.8","37.7","57.5","93.9","173.8","467.5","1923.8"
"2000","RUS","643","Russia","Yaroslavl'","RUS.81_1","RU.YS","57.6546363830566","39.4720420837402","1418339","44.1","32132.8","19844.2","1688.1","2817.9","31.0","163.5","549.1","1818.2","2817.9","3906.3","5867.9","9146.2","96896.8","261456.9"
"2000","RUS","643","Russia","Yevrey","RUS.82_1","RU.YV","48.6200141906738","132.662582397461","189187","5.4","35223.2","789.6","135.8","235.8","2.2","13.9","46.0","112.2","235.8","455.2","768.5","1485.2","2621.9","4990.4"
"2000","RUS","643","Russia","Zabaykal'ye","RUS.83_1","RU.ZB","51.5424118041992","114.756607055664","1172255","2.7","426908.1","591.2","75.6","94.3","1.8","7.2","20.0","44.5","94.3","205.4","460.0","929.3","1930.7","5479.2"
"2000","IDN","360","Indonesia","Aceh","IDN.1_1","ID.AC","4.66191053390503","96.8074035644531","4377874","76.8","56992.6","584.9","236.7","283.7","32.6","54.3","84.3","147.7","283.7","501.8","735.3","959.3","1427.6","5643.5"
"2000","IDN","360","Indonesia","Bali","IDN.2_1","ID.BA","-8.45663261413574","115.186416625977","3267777","582.0","5615.0","1672.9","1008.2","887.1","308.7","418.9","541.3","688.1","887.1","1240.4","1863.6","2884.6","4442.6","7758.5"
"2000","IDN","360","Indonesia","Bangka Belitung","IDN.3_1","ID.BB","-2.34384846687317","106.451530456543","933576","55.5","16826.5","430.9","122.3","69.9","23.7","31.8","39.7","50.4","69.9","155.1","295.8","556.9","1208.7","5647.9"
"2000","IDN","360","Indonesia","Banten","IDN.4_1","ID.BT","-6.26294231414795","106.363670349121","8505900","911.8","9328.4","3339.2","2010.2","2107.9","507.6","840.7","1177.5","1542.8","2107.9","3006.1","4254.2","5858.5","8029.2","19811.1"
"2000","IDN","360","Indonesia","Bengkulu","IDN.5_1","ID.BE","-3.66004371643066","102.384963989258","1617489","80.5","20080.6","880.5","218.2","107.7","39.4","55.2","70.3","87.2","107.7","164.1","729.9","1418.3","2998.0","7589.6"
"2000","IDN","360","Indonesia","Gorontalo","IDN.6_1","ID.GO","0.613210141658783","122.791328430176","869343","72.0","12073.7","1421.9","316.9","292.8","25.1","50.0","78.2","134.8","292.8","608.4","1237.1","2234.0","5258.4","10594.0"
"2000","IDN","360","Indonesia","Jakarta Raya","IDN.7_1","ID.JK","-6.2057318687439","106.832695007324","8452958","13050.5","647.7","14413.7","13907.6","14058.3","9912.4","11663.2","12690.5","13372.8","14058.3","14961.1","16139.8","18186.7","19550.9","21836.4"
"2000","IDN","360","Indonesia","Jambi","IDN.8_1","ID.JA","-1.65322327613831","102.805328369141","2497277","51.2","48762.6","1013.5","177.2","97.2","21.3","33.3","46.5","64.5","97.2","202.1","560.3","1227.3","4155.4","12113.6"
"2000","IDN","360","Indonesia","Jawa Barat","IDN.9_1","ID.JR","-6.77818727493286","107.565788269043","37231371","1014.3","36705.0","4367.8","1983.7","1617.7","481.7","676.9","882.1","1168.2","1617.7","2481.4","3888.0","6267.4","11550.2","31638.9"
"2000","IDN","360","Indonesia","Jawa Tengah","IDN.10_1","ID.JT","-7.23911619186401","110.130432128906","32279665","957.0","33729.9","1939.2","1324.5","1210.3","515.3","678.2","833.1","1005.9","1210.3","1469.9","1828.2","2502.4","4432.1","21139.9"
"2000","IDN","360","Indonesia","Jawa Timur","IDN.11_1","ID.JI","-7.6614818572998","112.641830444336","36076299","753.8","47860.3","2398.5","1271.4","1046.5","405.2","552.7","697.4","860.1","1046.5","1284.5","1763.3","3296.7","6732.6","15812.7"
"2000","IDN","360","Indonesia","Kalimantan Barat","IDN.12_1","ID.KB","0.0963262990117073","110.162467956543","3894750","26.6","146671.5","605.3","91.9","46.9","13.0","20.5","28.1","36.1","46.9","66.3","273.5","681.9","2005.4","6947.6"
"2000","IDN","360","Indonesia","Kalimantan Selatan","IDN.13_1","ID.KS","-3.07434844970703","115.087875366211","3072493","82.2","37356.3","1976.6","377.3","353.7","27.7","50.0","139.5","233.9","353.7","531.2","908.7","2100.8","8203.7","14480.4"
"2000","IDN","360","Indonesia","Kalimantan Tengah","IDN.14_1","ID.KT","-2.07853627204895","113.547920227051","1879639","12.3","153417.1","172.3","33.5","22.3","5.9","9.1","12.3","16.4","22.3","30.7","52.6","145.3","506.6","3766.8"
"2000","IDN","360","Indonesia","Kalimantan Timur","IDN.15_1","ID.KM","0.00938407983630896","116.969017028809","2534471","12.9","196251.4","1212.2","169.9","201.3","5.7","12.8","37.1","90.5","201.3","436.2","835.8","2641.5","4374.3","8656.3"
"2000","IDN","360","Indonesia","Kepulauan Riau","IDN.16_1","ID.KR","1.05207765102386","104.358993530273","1080152","124.9","8651.1","959.6","441.7","581.8","46.0","103.6","236.1","423.1","581.8","848.5","1296.5","1711.1","2338.9","4865.6"
"2000","IDN","360","Indonesia","Lampung","IDN.17_1","ID.LA","-5.08117723464966","105.145980834961","6894118","206.4","33403.2","843.5","412.2","464.7","77.4","110.8","247.0","347.6","464.7","612.6","769.4","992.1","1798.4","8048.1"
"2000","IDN","360","Indonesia","Maluku","IDN.19_1","ID.MA","-4.46345996856689","129.727722167969","1193688","25.5","46841.0","414.0","79.4","48.5","10.1","17.3","26.0","35.5","48.5","77.9","148.3","627.8","1379.3","5336.9"
"2000","IDN","360","Indonesia","Maluku Utara","IDN.18_1","ID.MU","0.387746721506119","127.425712585449","694777","21.7","32060.0","759.6","78.7","34.3","8.5","13.4","19.4","25.9","34.3","52.9","200.3","912.3","2912.6","9624.7"
"2000","IDN","360","Indonesia","Nusa Tenggara Barat","IDN.20_1","ID.NB","-8.61511421203613","116.845237731934","3977413","200.1","19882.0","1380.2","651.3","934.7","68.1","186.6","411.8","703.7","934.7","1143.9","1371.0","1761.2","3249.3","10096.0"
"2000","IDN","360","Indonesia","Nusa Tenggara Timur","IDN.21_1","ID.NT","-9.21825695037842","122.38200378418","3954647","84.4","46883.1","454.9","147.4","96.8","43.2","58.9","71.3","83.1","96.8","117.9","162.3","488.0","1241.7","7957.6"
"2000","IDN","360","Indonesia","Papua","IDN.23_1","ID.PA","-3.79097175598145","138.472198486328","1324823","4.3","311265.3","165.3","19.2","15.7","1.6","3.6","6.6","10.4","15.7","24.3","38.2","73.0","480.4","3948.4"
"2000","IDN","360","Indonesia","Papua Barat","IDN.22_1","ID.IB","-1.59213387966156","132.514801025391","439942","4.4","98874.0","219.3","22.9","12.5","1.7","3.3","5.4","8.3","12.5","19.1","63.6","385.0","800.3","3284.4"
"2000","IDN","360","Indonesia","Riau","IDN.24_1","ID.RI","0.580389261245728","101.697151184082","3918776","43.7","89746.1","491.0","128.2","85.5","18.7","29.2","40.1","55.2","85.5","191.1","344.2","689.1","1603.5","5267.0"
"2000","IDN","360","Indonesia","Sulawesi Barat","IDN.25_1","ID.SR","-2.904456615448","119.198753356934","850413","51.3","16589.8","386.9","130.9","87.3","22.6","35.8","49.7","65.9","87.3","125.1","360.4","867.7","1322.3","2473.3"
"2000","IDN","360","Indonesia","Sulawesi Selatan","IDN.26_1","ID.SE","-4.51587772369385","119.872436523438","7197085","163.5","44027.9","2056.9","585.4","636.0","73.0","109.1","174.0","350.5","636.0","955.3","1371.6","2681.9","7704.7","15357.1"
"2000","IDN","360","Indonesia","Sulawesi Tengah","IDN.27_1","ID.ST","-0.693573117256165","120.971405029297","2155924","35.2","61258.3","402.7","89.1","57.9","13.8","21.9","32.9","45.0","57.9","79.1","152.5","532.9","1030.9","5359.7"
"2000","IDN","360","Indonesia","Sulawesi Tenggara","IDN.28_1","ID.SG","-4.51182222366333","122.371826171875","1723941","46.7","36913.5","423.3","120.4","85.5","22.1","35.8","51.3","68.4","85.5","114.4","204.3","549.0","1340.2","5353.1"
"2000","IDN","360","Indonesia","Sulawesi Utara","IDN.29_1","ID.SW","1.52733325958252","124.847282409668","1903742","129.9","14658.3","1173.6","399.4","421.4","45.2","91.8","183.2","301.6","421.4","570.1","825.6","1615.9","3785.0","9337.6"
